"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"0500000US08014","Broomfield County, Colorado","75110","*****","64729","*****","10381","*****",
"0500000US08015","Chaffee County, Colorado","19876","*****","17943","*****","1933","*****",
"0500000US08017","Cheyenne County, Colorado","1732","142","1513","158","219","103",
"0500000US08019","Clear Creek County, Colorado","9358","*****","8650","*****","708","*****",
"0500000US08021","Conejos County, Colorado","7536","*****","3763","*****","3773","*****",
"0500000US08023","Costilla County, Colorado","3571","*****","1586","*****","1985","*****",
"0500000US08025","Crowley County, Colorado","5734","*****","4090","*****","1644","*****",
"0500000US08027","Custer County, Colorado","5073","*****","4981","57","92","57",
"0500000US08029","Delta County, Colorado","31353","*****","26893","*****","4460","*****",
"0500000US08031","Denver County, Colorado","713734","*****","514309","*****","199425","*****",
"0500000US08033","Dolores County, Colorado","2385","*****","2089","163","296","163",
"0500000US08035","Douglas County, Colorado","368283","*****","331852","*****","36431","*****",
"0500000US08037","Eagle County, Colorado","55374","*****","38645","*****","16729","*****",
"0500000US08039","Elbert County, Colorado","27152","*****","24815","*****","2337","*****",
"0500000US08041","El Paso County, Colorado","736008","*****","601066","*****","134942","*****",
"0500000US08043","Fremont County, Colorado","49394","*****","42995","*****","6399","*****",
"0500000US08045","Garfield County, Colorado","62034","*****","42167","*****","19867","*****",
"0500000US08047","Gilpin County, Colorado","5877","*****","5464","164","413","164",
"0500000US08049","Grand County, Colorado","15794","*****","14221","*****","1573","*****",
"0500000US08051","Gunnison County, Colorado","17158","*****","15467","*****","1691","*****",
"0500000US08053","Hinsdale County, Colorado","939","112","910","117","29","29",
"0500000US08055","Huerfano County, Colorado","6946","*****","4805","*****","2141","*****",
"0500000US08057","Jackson County, Colorado","1422","135","1233","163","189","125",
"0500000US08059","Jefferson County, Colorado","579715","*****","487553","*****","92162","*****",
"0500000US08061","Kiowa County, Colorado","1356","135","1223","122","133","74",
"0500000US08063","Kit Carson County, Colorado","7015","*****","5632","*****","1383","*****",
"0500000US08065","Lake County, Colorado","7411","*****","4805","408","2606","408",
"0500000US08067","La Plata County, Colorado","56088","*****","48939","*****","7149","*****",
"0500000US08069","Larimer County, Colorado","363561","*****","317394","*****","46167","*****",
"0500000US08071","Las Animas County, Colorado","14392","*****","8778","*****","5614","*****",
"0500000US08073","Lincoln County, Colorado","5561","*****","4734","*****","827","*****",
"0500000US08075","Logan County, Colorado","21067","*****","17537","*****","3530","*****",
"0500000US08077","Mesa County, Colorado","157316","*****","133359","*****","23957","*****",
"0500000US08079","Mineral County, Colorado","799","102","780","102","19","21",
"0500000US08081","Moffat County, Colorado","13258","*****","11080","*****","2178","*****",
"0500000US08083","Montezuma County, Colorado","26204","*****","22961","*****","3243","*****",
"0500000US08085","Montrose County, Colorado","43272","*****","34077","*****","9195","*****",
"0500000US08087","Morgan County, Colorado","29186","*****","18268","*****","10918","*****",
"0500000US08089","Otero County, Colorado","18460","*****","10762","*****","7698","*****",
"0500000US08091","Ouray County, Colorado","5024","*****","4786","123","238","123",
"0500000US08093","Park County, Colorado","17739","*****","16424","*****","1315","*****",
"0500000US08095","Phillips County, Colorado","4491","*****","3277","267","1214","267",
"0500000US08097","Pitkin County, Colorado","17119","*****","15215","*****","1904","*****",
"0500000US08099","Prowers County, Colorado","11931","*****","7181","*****","4750","*****",
"0500000US08101","Pueblo County, Colorado","168726","*****","97914","*****","70812","*****",
"0500000US08103","Rio Blanco County, Colorado","6518","*****","5833","*****","685","*****",
"0500000US08105","Rio Grande County, Colorado","11394","*****","6764","*****","4630","*****",
"0500000US08107","Routt County, Colorado","24990","*****","22810","*****","2180","*****",
"0500000US08109","Saguache County, Colorado","6511","*****","4107","*****","2404","*****",
"0500000US08111","San Juan County, Colorado","690","126","578","97","112","98",
"0500000US08113","San Miguel County, Colorado","8026","*****","7120","*****","906","*****",
"0500000US08115","Sedgwick County, Colorado","2346","142","1909","147","437","143",
"0500000US08117","Summit County, Colorado","30857","*****","25639","*****","5218","*****",
"0500000US08119","Teller County, Colorado","24774","*****","22943","*****","1831","*****",
"0500000US08121","Washington County, Colorado","4839","*****","4291","*****","548","*****",
"0500000US08123","Weld County, Colorado","340711","*****","236907","*****","103804","*****",
"0500000US08125","Yuma County, Colorado","9921","*****","7059","*****","2862","*****",
"0500000US09110","Capitol Planning Region, Connecticut","969029","*****","800590","*****","168439","*****",
"0500000US09120","Greater Bridgeport Planning Region, Connecticut","326296","*****","241262","*****","85034","*****",
"0500000US09130","Lower Connecticut River Valley Planning Region, Connecticut","174983","*****","161952","*****","13031","*****",
"0500000US09140","Naugatuck Valley Planning Region, Connecticut","452303","*****","365499","*****","86804","*****",
"0500000US09150","Northeastern Connecticut Planning Region, Connecticut","95829","*****","90990","*****","4839","*****",
"0500000US09160","Northwest Hills Planning Region, Connecticut","112848","*****","103406","*****","9442","*****",
"0500000US09170","South Central Connecticut Planning Region, Connecticut","566803","*****","458530","*****","108273","*****",
"0500000US09180","Southeastern Connecticut Planning Region, Connecticut","279025","*****","238084","*****","40941","*****",
"0500000US09190","Western Connecticut Planning Region, Connecticut","621232","*****","497367","*****","123865","*****",
"0500000US10001","Kent County, Delaware","185043","*****","170394","*****","14649","*****",
"0500000US10003","New Castle County, Delaware","573030","*****","507638","*****","65392","*****",
"0500000US10005","Sussex County, Delaware","247799","*****","220011","*****","27788","*****",
